date,time,title,place,street,people,link
7/4/2024,12:25:00 PM,Narcotics,Leipzig,,2 Germans,https://www.polizei.sachsen.de/de/MI_2024_107815.htm
7/4/2024,8:50:00 AM,Burglary in business,Markkleeberg,Rathausstraße,,
7/3/2024,12:00:00 AM,Grand theft auto,Grimma,Hohe Straße,,https://www.polizei.sachsen.de/de/MI_2024_107794.htm
7/3/2024,12:00:00 AM,Grand theft auto,Wahren,Stammerstrasse,,https://www.polizei.sachsen.de/de/MI_2024_107794.htm
7/4/2024,4:00:00 PM,Graffiti,Schönefeld-Ost,Leupoldstrasse,2 Germans,https://www.polizei.sachsen.de/de/MI_2024_107794.htm
7/4/2024,6:50:00 AM,Graffiti,Connewitz,Scheffelstrasse,1 German,https://www.polizei.sachsen.de/de/MI_2024_107794.htm
7/4/2024,12:00:00 AM,Burglary in business,Grünau,Kiewer Straße,,
7/3/2024,12:38:00 PM,Hit and run and threats,"Leipzig, Centre-West",Ranstädter Steinweg,,https://www.polizei.sachsen.de/de/MI_2024_107791.htm
7/3/2024,12:00:00 AM,Burglary in business,"Leipzig, Centre-West",,,
7/3/2024,12:00:00 AM,Graffiti,Grimma,,,
7/2/2024,12:00:00 AM,Grand theft auto,Beilrode,Sportplatzweg,,https://www.polizei.sachsen.de/de/MI_2024_107774.htm
7/2/2024,12:00:00 AM,Grand theft auto,Beilrode: Kreischau,Eulenauer Straße,,https://www.polizei.sachsen.de/de/MI_2024_107774.htm
7/2/2024,12:00:00 AM,Burglary in business,Gohlis-Mitte,,,
7/2/2024,10:40:00 PM,Burglary in business,Delitzsch,Eisenbahnstrasse,1 Georgian,
7/4/2024,5:30:00 AM,Threat with a weapon,Volkmarsdorf,Eisenbahnstrasse,1 Turkish,
7/4/2024,2:30:00 AM,Property damage,Connewitz,Biedermannstraße,,https://www.polizei.sachsen.de/de/MI_2024_107824.htm
7/5/2024,12:30:00 PM,Property damage,Großzschocher,,,
7/5/2024,10:30:00 AM,Anti-constitutional slogans,Lützschena-Stahmeln,,3 Germans,
7/5/2024,12:00:00 PM,Burglary in business,Mockau-Süd,Rosenowstrasse,,
7/5/2024,12:00:00 PM,Burglary in business,"Leipzig, Centre-South",Münzgasse,,
7/5/2024,2:50:00 PM,Burglary in business,Dölitz-Dösen,Bornaische Straße,,https://www.polizei.sachsen.de/de/MI_2024_107847.htm
7/5/2024,4:50:00 PM,Burglary in business,Dölitz-Dösen,Bornaische Straße,,
7/6/2024,12:00:00 AM,Property damage,Wahren,Stahmelner Straße,,
7/6/2024,2:30:00 AM,Battery,Leipzig,Markt,,
7/7/2024,3:00:00 PM,Burglary in business,Leutzsch,,,https://www.polizei.sachsen.de/de/MI_2024_107867.htm
7/8/2024,9:00:00 PM,Burglary in business,Dölzig,,,
7/8/2024,3:10:00 PM,Property damage,"Leipzig, Centre-South",,,
7/5/2024,12:00:00 AM,Burglary in business,Torgau,,,https://www.polizei.sachsen.de/de/MI_2024_107866.htm
4/9/2024,12:55:00 PM,Attempted homicide,"Leipzig, Centre-East",Willy-Brandt-Platz,,https://www.polizei.sachsen.de/de/MI_2024_107892.htm#oben
7/6/2024,5:00:00 PM,Robbery,"Leipzig, Centre-East",Willy-Brandt-Platz,1 German,https://www.polizei.sachsen.de/de/MI_2024_107914.htm
7/8/2024,12:00:00 PM,Burglary in business,Leutzsch,Georg-Schwarz-Straße,,
7/8/2024,12:00:00 PM,Burglary in business,Centre-Southeast,,,
7/8/2024,12:00:00 PM,Graffiti,Eilenburg,,,https://www.polizei.sachsen.de/de/MI_2024_107933.htm
7/9/2024,3:40:00 AM,Robbery,Leipzig,Gerberstrasse,,https://www.polizei.sachsen.de/de/MI_2024_107933.htm
7/10/2024,6:00:00 PM,Robbery,Wiederitzsch,,,https://www.polizei.sachsen.de/de/MI_2024_107948.htm
7/9/2024,12:00:00 PM,Anti-constitutional slogans,Brandis,,,https://www.polizei.sachsen.de/de/MI_2024_107948.htm
7/10/2024,6:00:00 PM,Anti-constitutional slogans,Volkmarsdorf,Wurzner Straße,1 German,
7/11/2024,12:00:00 PM,Bike stolen,Zentrum-Süd,Floßplatz,,https://www.polizei.sachsen.de/de/MI_2024_107966.htm
7/7/2024,7:00:00 PM,Attempted robbery,Grünau-Mitte,Stuttgarter Allee,2 Germans,
7/11/2024,12:00:00 PM,Grand theft auto,Holzhausen,Walter-Heise-Straße,,
7/12/2024,2:45:00 AM,Bank robbery,Brandis,Markt,,
7/11/2024,5:50:00 PM,Dangerous bodily harm,Grünau-Mitte,Ludwigsburger Straße,1 German,
7/11/2024,4:30:00 PM,Robbery in business,Dölitz-Dösen,,,
7/11/2024,12:00:00 PM,Burglary in business,Mölkau,,,
7/14/2024,11:30:00 PM,Homicide,Leipzig,Eisenbahnstrasse 30,,https://www.polizei.sachsen.de/de/MI_2024_107998.htm
7/13/2024,12:00:00 PM,Property damage,Machern,Leipziger Straße 2,,
7/12/2024,8:51:00 PM,Anti-constitutional slogans,Leipzig,Cäcilienstrasse,4 Germans,
7/13/2024,12:00:00 PM,Burglary in business,Plagwitz,Gießerstraße,,
