,date,district,street,crime
0,17.03.2025,Delitzsch,F.C.-Weiskopf-Straße,Unfallflucht - Zeugenaufruf
1,20.03.2025,Leipzig (Wiederitzsch),Delitzscher Landstraße/Südtangente,Verkehrsunfall in Wiederitzsch
2,20.03.2025,Leipzig (Wahren),Travniker Straße/Linkelstraße,Unfall in Wahren
3,04.02.25,Leipzig (Grünau-Nord),Alte Burghausener Straße (Wendehaltestelle),Gefährlicher Eingriff in den Straßenverkehr
4,04.02.2025,Grimma,A14 - Tank- und Rastanlage Muldental Süd,Verkehrsunfall mit leicht verletzter Person
5,04.02.2025,Bennewitz,K8367,Verkehrsunfall mit einer schwer verletzten Person
6,05.02.2025,Leipzig (Südvorstadt),Karl-Liebknecht-Straße,Verfolgungsfahrt endet mit Haft
7,04.02.2025,Leipzig (Neustadt-Neuschönefeld),Ludwig-Erhard-Str. / Ranftsche Gasse,Radfahrer verletzt und Pkw flüchtet
8,04.02.2025,Geithain,Straße der Deutschen Einheit,Trunkenheitsfahrt am frühen Morgen
9,25.02.2025,Leipzig (Volkmarsdorf),,Durchsuchungen von Gewerbeeinrichtungen
10,24.02.2025,BAB 14,Richtung Halle/Saale,Lkw mit mehreren Verstößen festgestellt
11,25.02.2025,Grimma,Wurzener Straße,Tatverdächtiger begeht mehrere Straftaten
12,24.02.2025,Leipzig (Knautkleeberg-Knauthain),,Fassade beschädigt
13,25.02.2025,Delitzsch,Securiusstraße,Wohnungseinbruchdiebstahl
14,polizeibekannt: 24.02.2025,Schkeuditz,An der Autobahn,Verfassungsfeindliche Graffiti
15,25.02.2025,Leipzig (Connewitz),S-Bahnhof Connewitz/ Straßenbahnhaltestellte,Graffito mit politischem Bezug
16,26.02.2025,Leipzig (Altlindenau),,Einbruch in Schmuckgeschäft
17,03.03.2025,Leipzig (Leutzsch),,Einbruch in ein Büro
18,02.03.2025,Leipzig (Zentrum),Wächterstraße,Diebstahl eines Seat
19,04.03.2025 17:55 Uhr,Taucha,Sommerfelder Straße,Mercedes fährt gegen Bäume
20,04.03.2025,Leipzig Möckernsche Allee / Waldstraße,,Kollision mit Straßenbahn
21,15.02.2025,Leipzig (Mölkau),Moltrechtstraße,Brand in Mölkau
22,13.02.2025,Wurzen,,Einbruch in Friseursalon
23,Zeit:13.02.2025,Rötha,Friedrich-Engels-Ring,Falscher Polizeibeamter
24,14.02.2025,Leipzig (Schönau),Garskestraße,Brand in Mehrfamilienhaus
25,15.02.2025,Bundesautobahn 14,"km 73,5 in Richtung Magdeburg (Höhe Abfahrt Leipzig-Ost)",Zeugenaufruf nach Verkehrsunfall
26,17.02.2025,Colditz (Schönbach),Alte Dorfstraße,Brand eines Nebengebäudes
27,28.02.2025,Leipzig (Connewitz),Am Teilungswehr,Brand einer Baumaschine – Zeugenaufruf
