date,district,street,crime
06.02.2025,Belgern (Puschwitz),,Sprengung dreier Bomben
05.02.2025,Leipzig (Anger-Crottendorf),Zweinaundorfer Straße,Drogenhandel im Spätverkauf
06.02.2025,Leipzig (Volkmarsdorf),"Haltestelle ""Torgauer Platz""",Verhetzende Beleidigung - Tatverdächtiger gestellt
05.02.2025,BAB 38,,Planeschlitzen
06.02.2025,Leipzig (Connewitz),Wolfgang-Heinze-Straße,Brand in einer Wohnung
04.02.2025,Markranstädt,Oststraße,Wohnungseinbruch
05.02.2025,Leipzig (Reudnitz-Thonberg),Riebeckstraße / Stötteritzer Straße,Unerlaubt vom Unfallort entfernt
06.02.2025,Grimma (Zschoppach),,Einbrecher überrascht
06.02.2025,Leipzig (Zentrum-Nordwest),Kickerlingsberg,Gartenlaubenbrand
05.02.2025,Zwenkau,,Einbruch in Firmengelände
07.02.2025,Leipzig (Kleinzschocher),Diezmannstraße,Gleisbett mit Straße verwechselt
